genus,species
Ameiurus,natalis
Ameiurus,nebulosus
Ictalurus,punctatus
Noturus,exilis
Noturus,flavus
Noturus,gyrinus
Kuhlia,sandvicensis
Girella,nigricans
Halichoeres,binotopsis
Halichoeres,dispilus
Halichoeres,nigrescens
Notolabrus,celidotus
Symphodus,ocellatus
Tautogolabrus,adspersus
Thalassoma,lucasanum
Dialommus,macrocephalus
Malacoctenus,gigas
Malacoctenus,zonifer
Hypostomus,borellii
Loricaria,tucumanensis
Lota,lota
Lutjanus,apodus
Lutjanus,guttatus
Lutjanus,malabaricus
Lutjanus,vitta
Ocyurus,chrysurus
Melanotaenia,duboulayi
Melanotaenia,splendida
Monacanthus,chinensis
Dicentrarchus,labrax
Morone,americana
Morone,chrysops
Morone,saxatilis
Chelon,subviridis
Crenimugil,crenilabis
Ellochelon,vaigiensis
Liza,ramada
Moolgarda,engeli
Mugil,cephalus
Mugil,curema
Rhinomugil,corsula
Mullus,barbatus
Mullus,surmuletus
Congresox,talabonoides
Barbatula,barbatula
Pentapodus,setosus
Scolopsis,taenioptera
Gobionotothen,gibberifrons
Lepidonotothen,squamifrons
Lindbergichthys,nudifrons
Notothenia,angustata
Notothenia,coriiceps
Notothenia,rossii
Pagothenia,borchgrevinki
Trematomus,bernacchii
Trematomus,hansoni
Trematomus,pennellii
Perccottus,glenii
Hypomesus,nipponensis
Hypomesus,transpacificus
Osmerus,mordax
Pangasius,pangasius
Paralichthys,californicus
Paralichthys,lethostigma
Paralichthys,olivaceus
Pseudorhombus,elevatus
Parodon,carrikeri
Etheostoma,blennioides
Etheostoma,caeruleum
Etheostoma,flabellare
Etheostoma,fonticola
Etheostoma,nigrum
Etheostoma,spectabile
Gymnocephalus,cernua
Perca,flavescens
Perca,fluviatilis
Sander,canadensis
Sander,lucioperca
Sander,vitreus
Percopsis,omiscomaycus
Pholis,ornata
Platycephalus,indicus
Acanthoclinus,littoreus
Lepidopsetta,bilineata
Parophrys,vetulus
Platichthys,flesus
Pleuronectes,platessa
Pseudopleuronectes,americanus
Plotosus,lineatus
Belonesox,belizanus
Cnesterodon,decemmaculatus
Gambusia,affinis
Gambusia,holbrooki
Gambusia,nobilis
Gambusia,yucatana
Heterandria,formosa
Limia,melanonotata
Poecilia,formosa
Poecilia,latipinna
Poecilia,mexicana
Poecilia,reticulata
Poecilia,sphenops
Xiphophorus,maculatus
Xiphophorus,variatus
Polyodon,spathula
Abudefduf,saxatilis
Abudefduf,sordidus
Abudefduf,troschelii
Chromis,atrilobata
Chromis,punctipinnis
Dascyllus,aruanus
Premnas,biaculeatus
Stegastes,acapulcoensis
Stegastes,variabilis
Prochilodus,lineatus
Coregonus,artedi
Coregonus,clupeaformis
Coregonus,hoyi
Coregonus,maraenoides
Coregonus,nasus
Coregonus,nilssoni
Coregonus,peled
Coregonus,widegreni
Oncorhynchus,apache
Oncorhynchus,gilae
Oncorhynchus,gorbuscha
Oncorhynchus,keta
Oncorhynchus,kisutch
Oncorhynchus,mykiss
Oncorhynchus,nerka
Oncorhynchus,tshawytscha
Salmo,trutta
Salvelinus,alpinus
Salvelinus,confluentus
Salvelinus,fontinalis
Salvelinus,leucomaenis
Salvelinus,malma
Salvelinus,namaycush
Thymallus,arcticus
Thymallus,thymallus
Scatophagus,argus
Aplodinotus,grunniens
Cynoscion,nebulosus
Larimichthys,crocea
Leiostomus,xanthurus
Sciaenops,ocellatus
Euthynnus,affinis
Katsuwonus,pelamis
Scomber,japonicus
Pterois,volitans
Scorpaena,porcus
Sebastes,dallii
Epinephelus,fuscoguttatus
Epinephelus,tauvina
Rypticus,nigripinnis
Pygocentrus,nattereri
