genus_species,genus,species,phylum,order,family,class
Cyprinion macrostomum,Cyprinion,macrostomum,NA,NA,Cyprinidae,Actinopteri
Cyprinodon bovinus,Cyprinodon,bovinus,NA,NA,Cyprinodontidae,Actinopteri
Cyprinodon dearborni,Cyprinodon,dearborni,NA,NA,Cyprinodontidae,Actinopteri
Cyprinodon macularius,Cyprinodon,macularius,Chordata,Cyprinodontiformes,Cyprinodontidae,Actinopteri
Cyprinodon nevadensis,Cyprinodon,nevadensis,NA,NA,Cyprinodontidae,Actinopteri
Cyprinodon rubrofluviatilis,Cyprinodon,rubrofluviatilis,NA,NA,Cyprinodontidae,Actinopteri
Cyprinodon salinus,Cyprinodon,salinus,NA,NA,Cyprinodontidae,Actinopteri
Cyprinodon sp.1,Cyprinodon,sp.1,Chordata,Cyprinodontiformes,Cyprinodontidae,Actinopteri
Cyprinodon variegatus,Cyprinodon,variegatus,NA,NA,Cyprinodontidae,Actinopteri
Cyprinus carpio,Cyprinus,carpio,NA,NA,Cyprinidae,Actinopteri
Danio dangila,Danio,dangila,NA,NA,Cyprinidae,Actinopteri
Danio rerio,Danio,rerio,NA,NA,Cyprinidae,Actinopteri
Dascyllus aruanus,Dascyllus,aruanus,NA,NA,Pomacentridae,Actinopteri
Dasyatis sabina,Dasyatis,sabina,Chordata,Myliobatiformes,Dasyatidae,Chondrichthyes
Dendropsophus molitor,Dendropsophus,molitor,Chordata,Anura,Hylidae,Amphibia
Dendropsophus molitor,Dendropsophus,molitor,NA,Anura,Hylidae,Amphibia
Desmognathus fuscus,Desmognathus,fuscus,Chordata,Caudata,Plethodontidae,Amphibia
Desmognathus quadramaculatus,Desmognathus,quadramaculatus,NA,Caudata,Plethodontidae,Amphibia
Dicentrarchus labrax,Dicentrarchus,labrax,NA,NA,Moronidae,Actinopteri
Dionda diaboli,Dionda,diaboli,NA,NA,Cyprinidae,Actinopteri
Dorosoma cepedianum,Dorosoma,cepedianum,NA,NA,Clupeidae,Actinopteri
Dorosoma petenense,Dorosoma,petenense,NA,NA,Clupeidae,Actinopteri
Dryophytes walkeri,Dryophytes,walkeri,NA,Anura,Hylidae,Amphibia
Eleutherodactylus coqui,Eleutherodactylus,coqui,Chordata,Anura,Leptodactylidae,Amphibia
Eleutherodactylus cundalli,Eleutherodactylus,cundalli,NA,Anura,Leptodactylidae,Amphibia
Eleutherodactylus gossei,Eleutherodactylus,gossei,NA,Anura,Leptodactylidae,Amphibia
Eleutherodactylus johnstonei,Eleutherodactylus,johnstonei,NA,Anura,Leptodactylidae,Amphibia
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,NA,Anura,Leptodactylidae,Amphibia
Eleutherodactylus portoricensis,Eleutherodactylus,portoricensis,NA,Anura,Leptodactylidae,Amphibia
Eleutherodactylus portoricensus,Eleutherodactylus,portoricensus,Chordata,Anura,Eleutherodactylidae,Amphibia
Ellochelon vaigiensis,Ellochelon,vaigiensis,NA,NA,Mugilidae,Actinopteri
Engraulis japonicus,Engraulis,japonicus,NA,NA,Engraulidae,Actinopteri
