genus,species,latitude,longitude,population_id,location_description,acclim_temp,acclim_time,parameter_value,parameter_tmax_or_tmin,error_estimate,error_type,sample_size,metric_type,metric_description,ramping_rate,ramping_to_reach_st,duration_of_chronic_exposure,temp_before_pretreament_held_or_ff_for_field_fresh,timing_of_collection,elevation_of_collection,life_stage,phylum,class,order,family,realm_general,realm_specific,source,original_compilation,notes,extractor,ref,citation_Rohr,reference_Comte,genus_species
Rana,pretiosa,51.091,-121.587,Rana pretiosa_51.091_-121.587,"Clinton, British Columbia",5,14,31.8,tmax,NA,NA,10,NA,Loss of righting response,1,NA,NA,NA,NA,610,Adult,NA,Amphibia,Anura,Ranidae,Terrestrial,NA,Field,Rohr,NA,NA,"Brattstrom, B. H. 1968. Thermal acclimation in Anuran amphibians as a function of latitude and altitude. Comparative Biochemistry and Physiology 24:93-111.",Brattstrom 1968,NA,Rana pretiosa
Rana,pretiosa,51.091,-121.587,Rana pretiosa_51.091_-121.587,"Clinton, British Columbia",23,14,34.2,tmax,NA,NA,10,NA,Loss of righting response,1,NA,NA,NA,NA,610,Adult,NA,Amphibia,Anura,Ranidae,Terrestrial,NA,Field,Rohr,NA,NA,"Brattstrom, B. H. 1968. Thermal acclimation in Anuran amphibians as a function of latitude and altitude. Comparative Biochemistry and Physiology 24:93-111.",Brattstrom 1968,NA,Rana pretiosa
Rana,pretiosa,51.091,-121.587,Rana pretiosa_51.091_-121.587,"Clinton, British Columbia",30,14,34.8,tmax,NA,NA,10,NA,Loss of righting response,1,NA,NA,NA,NA,610,Adult,NA,Amphibia,Anura,Ranidae,Terrestrial,NA,Field,Rohr,NA,NA,"Brattstrom, B. H. 1968. Thermal acclimation in Anuran amphibians as a function of latitude and altitude. Comparative Biochemistry and Physiology 24:93-111.",Brattstrom 1968,NA,Rana pretiosa
Necturus,maculosus,40.4070065,-84.204712,Necturus maculosus_40.4070065_-84.204712,Supplier,15,21,33.9,tmax,NA,NA,9,NA,Onset of spasms,1,NA,NA,NA,NA,309,Adult,NA,Amphibia,Caudata,Proteidae,Terrestrial,NA,Supplier,Rohr,NA,NA,"Erskine, D. J., and V. H. Hutchison. 1982. Reduced thermal tolerance in an amphibian treated with melatonin. Journal of Thermal Biology 7:121-123.",Erskine and Hutchison 1982,NA,Necturus maculosus
Plethodon,glutinosus,40.78,-75.28,Plethodon glutinosus_40.78_-75.28,"Northampton County, Pennsylvania, USA",15,28,32.5,tmax,0.16,SE,10,critical,onset_of_spasm,1,NA,NA,15,NA,122,NA,Chordata,Amphibia,Caudata,Plethodontidae,Terrestrial,logs ans rocks,NA,intratherm_team,NA,FL,Elwood_2003,NA,NA,Plethodon glutinosus
Plethodon,glutinosus,39.31,-80.2,Plethodon glutinosus_39.31_-80.2,"Pocahontas, West Virginia, USA",15,28,33.3,tmax,0.25,SE,10,critical,onset_of_spasm,1,NA,NA,15,NA,975,NA,Chordata,Amphibia,Caudata,Plethodontidae,Terrestrial,logs ans rocks,NA,intratherm_team,NA,FL,Elwood_2003,NA,NA,Plethodon glutinosus
Plethodon,glutinosus,36.95,-81.76,Plethodon glutinosus_36.95_-81.76,"Smyth, Virginia, USA",15,28,33.4,tmax,0.17,SE,11,critical,onset_of_spasm,1,NA,NA,15,NA,1040,NA,Chordata,Amphibia,Caudata,Plethodontidae,Terrestrial,logs ans rocks,NA,intratherm_team,NA,FL,Elwood_2003,NA,NA,Plethodon glutinosus
Plethodon,glutinosus,40.78,-75.28,Plethodon glutinosus_40.78_-75.28,"Northampton County, Pennsylvania, USA",25,28,34.5,tmax,0.32,SE,9,critical,onset_of_spasm,1,NA,NA,15,NA,122,NA,Chordata,Amphibia,Caudata,Plethodontidae,Terrestrial,logs ans rocks,NA,intratherm_team,NA,FL,Elwood_2003,NA,NA,Plethodon glutinosus
Plethodon,glutinosus,39.31,-80.2,Plethodon glutinosus_39.31_-80.2,"Pocahontas, West Virginia, USA",25,28,34.6,tmax,0.22,SE,10,critical,onset_of_spasm,1,NA,NA,15,NA,975,NA,Chordata,Amphibia,Caudata,Plethodontidae,Terrestrial,logs ans rocks,NA,intratherm_team,NA,FL,Elwood_2003,NA,NA,Plethodon glutinosus
Plethodon,glutinosus,36.95,-81.76,Plethodon glutinosus_36.95_-81.76,"Smyth, Virginia, USA",25,28,34.2,tmax,0.21,SE,10,critical,onset_of_spasm,1,NA,NA,15,NA,1040,NA,Chordata,Amphibia,Caudata,Plethodontidae,Terrestrial,logs ans rocks,NA,intratherm_team,NA,FL,Elwood_2003,NA,NA,Plethodon glutinosus
