Genus,Species,parameter_value,parameter_(tmax_or_tmin),error_estimate,error_type,metric_type,metric_description,person
Sphaerotrichia,divaricata,30.5,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Lagopus,muta,-4.5,tmin,NA,NA,critical,Temperature_below_which_the_animal_has_to_increase_its_heat_production,FL
Lagopus,muta,-2,tmin,NA,NA,critical,Temperature_below_which_the_animal_has_to_increase_its_heat_production,FL
Lagopus,muta,0.6,tmin,NA,NA,critical,Temperature_below_which_the_animal_has_to_increase_its_heat_production,FL
Lagopus,muta,7.1,tmin,NA,NA,critical,Temperature_below_which_the_animal_has_to_increase_its_heat_production,FL
Silene,acaulis,51.7,tmax,0.2,SD,lethal,Temperature_at_50%_heat_damage,FL
Silene,acaulis,49.8,tmax,0.2,SD,lethal,Temperature_at_50%_heat_damage,FL
Sphaerotrichia,divaricata,30.5,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Lagopus,muta,-6,tmin,NA,NA,critical,Temperature_below_which_the_animal_has_to_increase_its_heat_production,FL
Lagopus,muta,-8.7,tmin,NA,NA,critical,Temperature_below_which_the_animal_has_to_increase_its_heat_production,FL
Lagopus,muta,-5.3,tmin,NA,NA,critical,Temperature_below_which_the_animal_has_to_increase_its_heat_production,FL
Lagopus,muta,-5.8,tmin,NA,NA,critical,Temperature_below_which_the_animal_has_to_increase_its_heat_production,FL
Sphaerotrichia,divaricata,29.5,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Sphaerotrichia,divaricata,29.5,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Sphaerotrichia,divaricata,29.5,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Sphaerotrichia,divaricata,29.3,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Sphaerotrichia,divaricata,29.5,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Sphaerotrichia,divaricata,29.7,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Sphaerotrichia,divaricata,29.5,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Sphaerotrichia,divaricata,29,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Sphaerotrichia,divaricata,28.2,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Sphaerotrichia,divaricata,29,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Sphaerotrichia,divaricata,29.1,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Sphaerotrichia,divaricata,29.5,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Sphaerotrichia,divaricata,29.7,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Sphaerotrichia,divaricata,29.5,tmax,NA,NA,lethal,Temperature_at_which_50%_of_the_plants_recovered,FL
Silene,acaulis,54.5,tmax,NA,NA,lethal,Temperature_at_50%_heat_damage,FL
Eleutherodactylus,coqui,37.1,tmax,0.66,SD,critical,no_response_to_prodding,SO
Eleutherodactylus,coqui,37.2,tmax,0.8,SD,critical,no_response_to_prodding,SO
Eleutherodactylus,coqui,36.8,tmax,0.6,SD,critical,no_response_to_prodding,SO
Eleutherodactylus,coqui,37,tmax,0.45,SD,critical,no_response_to_prodding,SO
Eleutherodactylus,coqui,7.5,tmin,0.5,SD,critical,no_response_to_prodding,SO
Eleutherodactylus,coqui,7.3,tmin,1.5,SD,critical,no_response_to_prodding,SO
Todus,mexicanus,NA,NA,NA,NA,NA,NA,SO
Donax,serra,34,tmax,NA,NA,lethal,temperature_at_50%_damage_after_6h_treatment,SO
Donax,serra,35.6,tmax,NA,NA,lethal,temperature_at_50%_damage_after_3h_treatment,SO
Donax,serra,34.8,tmax,NA,NA,lethal,temperature_at_50%_damage_after_6h_treatment,SO
Donax,serra,31,tmax,NA,NA,lethal,temperature_at_50%_damage_after_12h_treatment,SO
Donax,serra,29,tmax,NA,NA,lethal,temperature_at_50%_damage_after_24h_treatment,SO
Donax,serra,27.2,tmax,NA,NA,lethal,temperature_at_50%_damage_after_48h_treatment,SO
Donax,serra,27,tmax,NA,NA,lethal,temperature_at_50%_damage_after_72h_treatment,SO
Donax,serra,27,tmax,NA,NA,lethal,temperature_at_50%_damage_after_96h_treatment,SO
Donax,serra,33,tmax,NA,NA,lethal,temperature_at_50%_damage_after_12h_treatment,SO
Donax,serra,31,tmax,NA,NA,lethal,temperature_at_50%_damage_after_24h_treatment,SO
Donax,serra,29,tmax,NA,NA,lethal,temperature_at_50%_damage_after_48h_treatment,SO
Donax,serra,29,tmax,NA,NA,lethal,temperature_at_50%_damage_after_72h_treatment,SO
Donax,serra,27,tmax,NA,NA,lethal,temperature_at_50%_damage_after_96h_treatment,SO
Donax,sordidus,35,tmax,NA,NA,lethal,temperature_at_50%_damage_after_12h_treatment,SO
Donax,sordidus,33,tmax,NA,NA,lethal,temperature_at_50%_damage_after_24h_treatment,SO
Donax,sordidus,29.2,tmax,NA,NA,lethal,temperature_at_50%_damage_after_48h_treatment,SO
Donax,sordidus,28.6,tmax,NA,NA,lethal,temperature_at_50%_damage_after_72h_treatment,SO
Donax,sordidus,27.2,tmax,NA,NA,lethal,temperature_at_50%_damage_after_96h_treatment,SO
Bullia,rhodostoma,34,tmax,NA,NA,lethal,temperature_at_50%_damage_after_12h_treatment,SO
Bullia,rhodostoma,33,tmax,NA,NA,lethal,temperature_at_50%_damage_after_24h_treatment,SO
Bullia,rhodostoma,31.5,tmax,NA,NA,lethal,temperature_at_50%_damage_after_48h_treatment,SO
Bullia,rhodostoma,30.9,tmax,NA,NA,lethal,temperature_at_50%_damage_after_72h_treatment,SO
Bullia,rhodostoma,30.8,tmax,NA,NA,lethal,temperature_at_50%_damage_after_96h_treatment,SO
Bullia,rhodostoma,34.7,tmax,NA,NA,lethal,temperature_at_50%_damage_after_12h_treatment,SO
Bullia,rhodostoma,32,tmax,NA,NA,lethal,temperature_at_50%_damage_after_24h_treatment,SO
Bullia,rhodostoma,31,tmax,NA,NA,lethal,temperature_at_50%_damage_after_48h_treatment,SO
Bullia,rhodostoma,28.8,tmax,NA,NA,lethal,temperature_at_50%_damage_after_72h_treatment,SO
Bullia,rhodostoma,28.4,tmax,NA,NA,lethal,temperature_at_50%_damage_after_96h_treatment,SO
Palirhoeus,eatoni,39.2,tmax,0.2,SE,critical,onset_of_spasm,SO
Palirhoeus,eatoni,35.4,tmax,0.8,SE,critical,onset_of_spasm,SO
Palirhoeus,eatoni,36.9,tmax,0.6,SE,critical,onset_of_spasm,SO
Palirhoeus,eatoni,36.5,tmax,0.4,SE,critical,onset_of_spasm,SO
Palirhoeus,eatoni,30.7,tmax,1,SE,critical,onset_of_spasm,SO
Palirhoeus,eatoni,35.6,tmax,1.2,SE,critical,onset_of_spasm,SO
Palirhoeus,eatoni,33.5,tmax,0.9,SE,critical,onset_of_spasm,SO
Palirhoeus,eatoni,-1.8,tmin,0.1,SE,critical,righting_ability,SO
Palirhoeus,eatoni,-3.6,tmin,0.1,SE,critical,righting_ability,SO
Palirhoeus,eatoni,-3.1,tmin,0.1,SE,critical,righting_ability,SO
Palirhoeus,eatoni,-2.1,tmin,0.2,SE,critical,righting_ability,SO
Cophosaurus,texanus,44.4,tmax,1.5,SE,critical,onset_of_rigor,SO
Cophosaurus,texanus,44.4,tmax,1.5,SE,critical,onset_of_rigor,SO
Cophosaurus,texanus,15.4,tmin,1.9,SE,critical,onset_of_rigor,SO
Cophosaurus,texanus,15.4,tmin,1.9,SE,critical,onset_of_rigor,SO
Ctenomys,talarum,25,tmin,NA,NA,LTNZ,Temperatures_above_UTNZ_results_in_higher_metabolic_rates,SO
Ctenomys,talarum,35,tmax,NA,NA,UTNZ,Temperatures_below_LTNZ_results_in_higher_metabolic_rates,SO
Rattus,fuscipes,28.1,tmin,NA,NA,LTNZ,NA,SO
Rattus,fuscipes,28.6,tmin,NA,NA,LTNZ,NA,SO
Rattus,fuscipes,32.9,tmax,NA,NA,UTNZ,NA,SO
Rattus,fuscipes,32.8,tmax,NA,NA,UTNZ,NA,SO
Dumontia,contorta,26,tmax,NA,NA,lethal,temperature_at_100%_damage_after_5w_treatment,SO
Dumontia,contorta,26,tmax,NA,NA,lethal,temperature_at_100%_damage_after_5w_treatment,SO
Dumontia,contorta,26,tmax,NA,NA,lethal,temperature_at_100%_damage_after_5w_treatment,SO
Dumontia,contorta,0,tmin,NA,NA,critical,survival_of_microthalli_and_macrothalli,SO
Dumontia,contorta,0,tmin,NA,NA,critical,survival_of_microthalli_and_macrothalli,SO
Dumontia,contorta,0,tmin,NA,NA,critical,survival_of_microthalli_and_macrothalli,SO
Dumontia,contorta,26,tmax,NA,NA,lethal,temperature_at_100%_damage_after_5w_treatment,SO
Dumontia,contorta,0,tmin,NA,NA,critical,survival_of_microthalli_and_macrothalli,SO
Rana,pipiens,31.4,tmax,NA,NA,critical,righting_ability,SO
Rana,pipiens,34.7,tmax,NA,NA,critical,righting_ability,SO
Rana,pipiens,35.4,tmax,NA,NA,critical,righting_ability,SO
Rana,pipiens,30.8,tmax,NA,NA,critical,righting_ability,SO
Rana,pipiens,35.2,tmax,NA,NA,critical,righting_ability,SO
Rana,pipiens,30,tmax,NA,NA,critical,righting_ability,SO
Rana,pipiens,37,tmax,NA,NA,critical,righting_ability,SO
Rana,pipiens,31,tmax,NA,NA,critical,righting_ability,SO
Rana,pipiens,35.7,tmax,NA,NA,critical,righting_ability,SO
Rana,pipiens,-1.6,tmin,NA,NA,lethal,temperature_at_50%_damage_after_24h_treatment,SO
Rana,pipiens,-1.6,tmin,NA,NA,lethal,temperature_at_50%_damage_after_24h_treatment,SO
Rana,pipiens,-1.6,tmin,NA,NA,lethal,temperature_at_50%_damage_after_24h_treatment,SO
Spea,hammondii,35.6,tmax,NA,NA,critical,righting_ability,SO
Spea,hammondii,40.3,tmax,NA,NA,critical,righting_ability,SO
