Genus,Species,parameter_value,parameter_(tmax_or_tmin),error_estimate,error_type,sample_size,metric_type,metric_description,ramping_rate,duration_of_chronic_exposure,pretreatment_temp,pretreatment_duration,temp_before_pretreament_(held_or_FF_for_field_fresh),timing_of_collection,lat_of_collection,long_of_collection,elevation_of_collection,location_description,REF,life_stage,Phylum,Class,Order,Family,Realm_specific,Realm_general,Notes
Rattus,fuscipes,32.8,tmax,,,<20,UTNZ,,NA,NA,25,4w,NA,NA,-30.26,115.04,,"Jurian Bay, Western Australia",Collins_1973,adult,Chordata,Mammalia,Rodentia,Muridae,,terrestrial,
Dumontia,contorta,26,tmax,,,100,lethal,temperature_at_100%_damage_after_5w_treatment,NA,5w,NA,NA,12,NA,44.9,-66.3,,"Bay of Fundy, Nova Scotia",Rietema_&_van_den_Hoek_1981,microthalli/macrothalli,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,,marine,"Species name was not Dumontia contarta in original list, it was Punctaria latifolia"
Dumontia,contorta,26,tmax,,,100,lethal,temperature_at_100%_damage_after_5w_treatment,NA,5w,NA,NA,12,NA,45.25,-60.98,,"Ketch Harbor, Nova Scotia",Rietema_&_van_den_Hoek_1982,microthalli/macrothalli,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,,marine,
Dumontia,contorta,26,tmax,,,100,lethal,temperature_at_100%_damage_after_5w_treatment,NA,5w,NA,NA,12,NA,44.65,-63.57,,"Halifax Harbor, Nova Scotia",Rietema_&_van_den_Hoek_1983,microthalli/macrothalli,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,,marine,
Dumontia,contorta,0,tmin,,,100,critical,survival_of_microthalli_and_macrothalli,NA,,NA,NA,12,NA,44.9,-66.3,,"Bay of Fundy, Nova Scotia",Rietema_&_van_den_Hoek_1984,microthalli/macrothalli,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,,marine,
Dumontia,contorta,0,tmin,,,100,critical,survival_of_microthalli_and_macrothalli,NA,,NA,NA,12,NA,45.25,-60.98,,"Ketch Harbor, Nova Scotia",Rietema_&_van_den_Hoek_1985,microthalli/macrothalli,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,,marine,
Dumontia,contorta,0,tmin,,,100,critical,survival_of_microthalli_and_macrothalli,NA,,NA,NA,12,NA,44.65,-63.57,,"Halifax Harbor, Nova Scotia",Rietema_&_van_den_Hoek_1986,microthalli/macrothalli,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,,marine,
Dumontia,contorta,26,tmax,,,100,lethal,temperature_at_100%_damage_after_5w_treatment,NA,5w,NA,NA,12,NA,64,,,Southern Iceland,Rietema_&_van_den_Hoek_1986,microthalli/macrothalli,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,,marine,
Dumontia,contorta,0,tmin,,,100,critical,survival_of_microthalli_and_macrothalli,NA,,NA,NA,12,NA,64,,,Southern Iceland,Rietema_&_van_den_Hoek_1986,microthalli/macrothalli,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,,marine,
Rana,pipiens,31.4,tmax,,,100,critical,righting_ability,1,NA,5,2.5w,NA,summer,45,,304.8,Wisconsin,Brattstrom_1968,adult,Chordata,Amphibia,Anura,Ranidae,,terrestrial,
