genus_species,genus,species,latitude,longitude,location_description,acclim_temp,acclim_time,parameter_value,parameter_tmax_or_tmin,error_estimate,error_type,sample_size,metric_type,metric_description,ramping_rate,ramping_to_reach_st,duration_of_chronic_exposure,temp_before_pretreament_held_or_ff_for_field_fresh,timing_of_collection,elevation_of_collection,life_stage,phylum,class,order,family,realm_general,realm_specific,source,original_compilation,notes,extractor,ref
Apogon novemfasciatus,Apogon,novemfasciatus,-5.464722222,123.7758333,"Hoga Island, southeast Sulawesi, Indonesia",16.58,14,35.1,tmax,"33.62, 36.12",CI,3,critical,loss of equilibrium,0.31,NA,NA,held,Jun-Aug,NA,adult,,,,,Marine,reef and seagrass,wild,Morley,,Nikki,Eme_&_Bennett_2009
Apogon novemfasciatus,Apogon,novemfasciatus,-5.464722222,123.7758333,"Hoga Island, southeast Sulawesi, Indonesia",20.12,14,35.2,tmax,"32.41, 37.49",CI,6,critical,loss of equilibrium,0.31,NA,NA,held,Jun-Aug,NA,adult,,,,,Marine,reef and seagrass,wild,Morley,,Nikki,Eme_&_Bennett_2009
Apogon novemfasciatus,Apogon,novemfasciatus,-5.464722222,123.7758333,"Hoga Island, southeast Sulawesi, Indonesia",24.78,14,38,tmax,"36.7, 36.7",CI,6,critical,loss of equilibrium,0.31,NA,NA,held,Jun-Aug,NA,adult,,,,,Marine,reef and seagrass,wild,Morley,,Nikki,Eme_&_Bennett_2009
Apogon novemfasciatus,Apogon,novemfasciatus,-5.464722222,123.7758333,"Hoga Island, southeast Sulawesi, Indonesia",28.96,14,39,tmax,"0, 0",CI,6,critical,loss of equilibrium,0.31,NA,NA,held,Jun-Aug,NA,adult,,,,,Marine,reef and seagrass,wild,Morley,,Nikki,Eme_&_Bennett_2009
Apogon novemfasciatus,Apogon,novemfasciatus,-5.464722222,123.7758333,"Hoga Island, southeast Sulawesi, Indonesia",30.96,14,40.1,tmax,"0, 0",CI,3,critical,loss of equilibrium,0.31,NA,NA,held,Jun-Aug,NA,adult,,,,,Marine,reef and seagrass,wild,Morley,,Nikki,Eme_&_Bennett_2009
Apogon novemfasciatus,Apogon,novemfasciatus,-5.464722222,123.7758333,"Hoga Island, southeast Sulawesi, Indonesia",16.94,14,12.9,tmin,"12.97, 14.26",CI,3,critical,loss of equilibrium,0.31,NA,NA,held,Jun-Aug,NA,adult,,,,,Marine,reef and seagrass,wild,Morley,,Nikki,Eme_&_Bennett_2009
Apogon novemfasciatus,Apogon,novemfasciatus,-5.464722222,123.7758333,"Hoga Island, southeast Sulawesi, Indonesia",20.56,14,13.4,tmin,"13.05, 15.46",CI,6,critical,loss of equilibrium,0.31,NA,NA,held,Jun-Aug,NA,adult,,,,,Marine,reef and seagrass,wild,Morley,,Nikki,Eme_&_Bennett_2009
Apogon novemfasciatus,Apogon,novemfasciatus,-5.464722222,123.7758333,"Hoga Island, southeast Sulawesi, Indonesia",25.06,14,15,tmin,"14.59, 16.48",CI,6,critical,loss of equilibrium,0.31,NA,NA,held,Jun-Aug,NA,adult,,,,,Marine,reef and seagrass,wild,Morley,,Nikki,Eme_&_Bennett_2009
Apogon novemfasciatus,Apogon,novemfasciatus,-5.464722222,123.7758333,"Hoga Island, southeast Sulawesi, Indonesia",29.31,14,17.7,tmin,"17.33, 20.35",CI,6,critical,loss of equilibrium,0.31,NA,NA,held,Jun-Aug,NA,adult,,,,,Marine,reef and seagrass,wild,Morley,,Nikki,Eme_&_Bennett_2009
Apogon novemfasciatus,Apogon,novemfasciatus,-5.464722222,123.7758333,"Hoga Island, southeast Sulawesi, Indonesia",31.32,14,17.8,tmin,"17.5, 19.83",CI,3,critical,loss of equilibrium,0.31,NA,NA,held,Jun-Aug,NA,adult,,,,,Marine,reef and seagrass,wild,Morley,,Nikki,Eme_&_Bennett_2009
Asellus aquaticus,Asellus,aquaticus,NA,NA,Turku,9,14,30.4,tmax,0.2,SD,16,critical,loss of righting ability,0.2,NA,NA,held,NA,NA,adult,,,,,Freshwater,shallow pond,wild,Morley,,Nikki,Lagerspetz_2003
Asellus aquaticus,Asellus,aquaticus,NA,NA,Turku,22,14,34,tmax,0.1,SD,12,critical,loss of righting ability,0.2,NA,NA,held,NA,NA,adult,,,,,Freshwater,shallow pond,wild,Morley,,Nikki,Lagerspetz_2003
Bathygobius fuscus,Bathygobius,fuscus,-5.464722222,123.7758333,"Hoga Island, southeast Sulawesi, Indonesia",19.83,14,40.1,tmax,"0, 0",CI,6,critical,loss of equilibrium,0.31,NA,NA,held,Jun-Aug,NA,adult,,,,,Marine,reef and seagrass,wild,Morley,,Nikki,Eme_&_Bennett_2009
Bathygobius fuscus,Bathygobius,fuscus,-5.464722222,123.7758333,"Hoga Island, southeast Sulawesi, Indonesia",21.3,14,40.4,tmax,"39.7, 41.18",CI,6,critical,loss of equilibrium,0.31,NA,NA,held,Jun-Aug,NA,adult,,,,,Marine,reef and seagrass,wild,Morley,,Nikki,Eme_&_Bennett_2009
Bathygobius fuscus,Bathygobius,fuscus,-5.464722222,123.7758333,"Hoga Island, southeast Sulawesi, Indonesia",27.09,14,41.6,tmax,"0, 0",CI,6,critical,loss of equilibrium,0.31,NA,NA,held,Jun-Aug,NA,adult,,,,,Marine,reef and seagrass,wild,Morley,,Nikki,Eme_&_Bennett_2009
Bathygobius fuscus,Bathygobius,fuscus,-5.464722222,123.7758333,"Hoga Island, southeast Sulawesi, Indonesia",31.42,14,41.3,tmax," 38.85, 43.84",CI,6,critical,loss of equilibrium,0.31,NA,NA,held,Jun-Aug,NA,adult,,,,,Marine,reef and seagrass,wild,Morley,,Nikki,Eme_&_Bennett_2009
Bathygobius fuscus,Bathygobius,fuscus,-5.464722222,123.7758333,"Hoga Island, southeast Sulawesi, Indonesia",35.65,14,42.4,tmax," 41.8, 43.09",CI,6,critical,loss of equilibrium,0.31,NA,NA,held,Jun-Aug,NA,adult,,,,,Marine,reef and seagrass,wild,Morley,,Nikki,Eme_&_Bennett_2009
Bathygobius fuscus,Bathygobius,fuscus,-5.464722222,123.7758333,"Hoga Island, southeast Sulawesi, Indonesia",19.88,14,9.5,tmin,"11.15, 12.07",CI,6,critical,loss of equilibrium,0.31,NA,NA,held,Jun-Aug,NA,adult,,,,,Marine,reef and seagrass,wild,Morley,,Nikki,Eme_&_Bennett_2009
Bathygobius fuscus,Bathygobius,fuscus,-5.464722222,123.7758333,"Hoga Island, southeast Sulawesi, Indonesia",21.35,14,0.2,tmin,"10.77, 11.79",CI,6,critical,loss of equilibrium,0.31,NA,NA,held,Jun-Aug,NA,adult,,,,,Marine,reef and seagrass,wild,Morley,,Nikki,Eme_&_Bennett_2009
Bathygobius fuscus,Bathygobius,fuscus,-5.464722222,123.7758333,"Hoga Island, southeast Sulawesi, Indonesia",27.05,14,11,tmin,"12.04, 14.53",CI,6,critical,loss of equilibrium,0.31,NA,NA,held,Jun-Aug,NA,adult,,,,,Marine,reef and seagrass,wild,Morley,,Nikki,Eme_&_Bennett_2009
Bathygobius fuscus,Bathygobius,fuscus,-5.464722222,123.7758333,"Hoga Island, southeast Sulawesi, Indonesia",31.38,14,12.3,tmin,"14.17, 15.28",CI,6,critical,loss of equilibrium,0.31,NA,NA,held,Jun-Aug,NA,adult,,,,,Marine,reef and seagrass,wild,Morley,,Nikki,Eme_&_Bennett_2009
Bathygobius fuscus,Bathygobius,fuscus,-5.464722222,123.7758333,"Hoga Island, southeast Sulawesi, Indonesia",35.79,14,13.5,tmin,"15.56, 16.21",CI,6,critical,loss of equilibrium,0.31,NA,NA,held,Jun-Aug,NA,adult,,,,,Marine,reef and seagrass,wild,Morley,,Nikki,Eme_&_Bennett_2009
