Global variation in the thermal tolerances of plants,,,,,,,,,,,,
Lesley T. Lancaster and Aelys M. Humphreys,,,,,,,,,,,,
Proceedings of the National Academy of Sciences USA (2020),,,,,,,,,,,,
,,,,,,,,,,,,
Dataset S1:,,,,,,,,,,,,
,,,,,,,,,,,,
Plant species clean,Plant species pre-cleaning,Thermal Tolerance_deg.C,Tmin or Tmax,Tolerance measure,Hardened y/n,Hardening approach,Latitude,Longitude,Elevation,Plant family,Growth form,Reference (see sheet 2 for full citation information)
Agave_parryi_var._huachucensis,Agave_paryi_var._huachucensis,57.2,Tmax,LT50,n,laboratory acclimation,29.4,-106.5,1550,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_parryi_var._huachucensis,Agave_paryi_var._huachucensis,58.8,Tmax,LT50,y,laboratory acclimation,29.4,-106.5,1550,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_pedunculifera,Agave_pedunculifera,-8.4,Tmin,LT50,y,laboratory acclimation,23.9,-105.8,1840,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_pedunculifera,Agave_pedunculifera,-6.6,Tmin,LT50,n,laboratory acclimation,23.9,-105.8,1840,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_pedunculifera,Agave_pedunculifera,52.1,Tmax,LT50,n,laboratory acclimation,23.9,-105.8,1840,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_pedunculifera,Agave_pedunculifera,64.1,Tmax,LT50,y,laboratory acclimation,23.9,-105.8,1840,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_rhodacantha,Agave_rhodacantha,-9.4,Tmin,LT50,y,laboratory acclimation,29.3,-111,440,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_rhodacantha,Agave_rhodacantha,-5,Tmin,LT50,n,laboratory acclimation,29.3,-111,440,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_rhodacantha,Agave_rhodacantha,54.5,Tmax,LT50,n,laboratory acclimation,29.3,-111,440,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_rhodacantha,Agave_rhodacantha,61.1,Tmax,LT50,y,laboratory acclimation,29.3,-111,440,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_schottii,Agave_schottii,-11.3,Tmin,LT50,y,laboratory acclimation,31.5,-111,1430,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_schottii,Agave_schottii,-7.1,Tmin,LT50,n,laboratory acclimation,31.5,-111,1430,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
Agave_schottii,Agave_schottii,49.3,Tmax,LT50,n,laboratory acclimation,31.5,-111,1430,Asparagaceae,perennial_herb,"Nobel & Smith, 1983"
